Dataset,Dataset prop,Training Prop,Data normalized,SOM type,Lattice distribution,Lattice width,Lattice height,Neighborhood radius,Learning factor,Tuning factor,Initialization,Distance,Neighborhood function,Training iters,Tuning iters,Tolerance,Models created,Init seed,Set shuffling seed,Av MQE after training,MQE SD after training,Av success,Av failure,Av Precision,Av MQE after test,MQE SD after test,Elapsed time
wine.csv,1.0,0.6,false,Batch,Rectangular,7,7,4,0.8,0.2,Random,Euclidean,Gaussian,500,0,0.0,30,593687615,1473988328,8.994821879882473,10.52796369713487,53.833333333333336,19.166666666666668,73.74429223744293,12.656140956875259,14.8732515678633,1:32
wine.csv,1.0,0.6,false,Batch,Rectangular,7,7,4,0.8,0.2,Random,Euclidean,Gaussian,1000,0,0.0,30,-1670264329,1565876753,9.18173404955755,10.900879722543952,53.8,19.2,73.69863013698631,12.815260883195306,14.866457145918195,2:57
wine.csv,1.0,0.6,false,Batch,Hexagonal,7,7,4,0.8,0.2,Random,Euclidean,Gaussian,200,0,0.0,30,-1965806857,-1923292105,9.311903463816362,10.74394608934679,54.3,18.7,74.38356164383562,12.553700783679036,13.85024194734085,0:36
wine.csv,1.0,0.6,false,Batch,Hexagonal,7,7,4,0.8,0.2,Random,Euclidean,Gaussian,500,0,0.0,30,-196592430,-879687659,9.340817748198338,11.026949812904604,53.4,19.6,73.15068493150686,13.013583891197829,16.000253055519362,1:30
wine.csv,1.0,0.6,false,Batch,Hexagonal,7,7,4,0.8,0.2,Random,Euclidean,Gaussian,1000,0,0.0,30,1896884304,-760877158,9.054385241064574,10.1314250971644,55.0,18.0,75.34246575342463,12.884955975548111,15.13788282424119,3:7
wine.csv,1.0,0.6,true,Batch,Rectangular,7,7,4,0.8,0.2,Normalized Random,Squared Euclidean,Gaussian,200,0,0.0,30,1580417564,1369002835,0.13223150735615932,0.10229469777054538,69.86666666666666,3.1333333333333333,95.70776255707759,0.20815937753584482,0.1641342700914689,0:29
wine.csv,1.0,0.6,true,Batch,Rectangular,7,7,4,0.8,0.2,Normalized Random,Squared Euclidean,Gaussian,500,0,0.0,30,1390424376,1776358839,0.13191825968933604,0.10509863135501259,68.5,4.5,93.83561643835615,0.21222085584181188,0.16887731059459718,1:16
wine.csv,1.0,0.6,true,Batch,Rectangular,7,7,4,0.8,0.2,Normalized Random,Squared Euclidean,Gaussian,1000,0,0.0,30,994519244,-2146909276,0.1298208002753617,0.1031191247195807,69.23333333333333,3.7666666666666666,94.84018264840185,0.20936127038963342,0.17261450228007794,2:32
wine.csv,1.0,0.6,true,Batch,Hexagonal,7,7,4,0.8,0.2,Normalized Random,Squared Euclidean,Gaussian,200,0,0.0,30,-1649399082,2116574663,0.13349523528315294,0.10787725468679447,69.86666666666666,3.1333333333333333,95.70776255707761,0.21050125930148106,0.16599353310308101,0:31
wine.csv,1.0,0.6,true,Batch,Hexagonal,7,7,4,0.8,0.2,Normalized Random,Squared Euclidean,Gaussian,500,0,0.0,30,789554477,672757823,0.1376940868952211,0.10159561138847395,69.16666666666667,3.8333333333333335,94.74885844748857,0.21668627266652954,0.16139634140557632,1:16
