Dataset,Dataset prop,Training Prop,Data normalized,SOM type,Lattice distribution,Lattice width,Lattice height,Neighborhood radius,Learning factor,Tuning factor,Initialization,Distance,Neighborhood function,Training iters,Tuning iters,Tolerance,Models created,Init seed,Set shuffling seed,Av MQE after training,MQE SD after training,Av success,Av failure,Av Precision,Av MQE after test,MQE SD after test,Elapsed time
glass.csv,1.0,0.6,false,Batch,Rectangular,8,7,5,0.8,0.2,Random,Euclidean,Gaussian,200,0,0.0,30,1864417767,873690891,0.34315111482809874,0.40991553529345237,62.2,26.8,69.8876404494382,0.48146808031932886,0.6061811181788112,0:36
glass.csv,1.0,0.6,false,Batch,Rectangular,8,7,5,0.8,0.2,Random,Euclidean,Gaussian,500,0,0.0,30,1849096543,1521548038,0.3392361685121792,0.3888074168519576,60.96666666666667,28.033333333333335,68.50187265917603,0.4983524776124982,0.6392629146674892,1:30
glass.csv,1.0,0.6,false,Batch,Rectangular,8,7,5,0.8,0.2,Random,Euclidean,Gaussian,1000,0,0.0,30,-909958451,-727728833,0.3347351371053543,0.39369364115729655,62.833333333333336,26.166666666666668,70.59925093632957,0.49212800264168044,0.6341046427411876,3:3
glass.csv,1.0,0.6,false,Batch,Hexagonal,8,7,5,0.8,0.2,Random,Euclidean,Gaussian,200,0,0.0,30,-353463461,-1902804658,0.33694504268109804,0.3964734333140425,62.9,26.1,70.67415730337078,0.4911230350692678,0.6428282777663484,0:35
glass.csv,1.0,0.6,false,Batch,Hexagonal,8,7,5,0.8,0.2,Random,Euclidean,Gaussian,500,0,0.0,30,733124864,210394457,0.34252120965763705,0.3935198070636635,61.833333333333336,27.166666666666668,69.47565543071163,0.4980576819141015,0.6372056049856919,1:29
glass.csv,1.0,0.6,false,Batch,Hexagonal,8,7,5,0.8,0.2,Random,Euclidean,Gaussian,1000,0,0.0,30,-1464806130,-1399013473,0.35088357219708327,0.4249050199424384,60.96666666666667,28.033333333333335,68.50187265917603,0.49867888739626415,0.6367154222223953,3:2
glass.csv,1.0,0.6,true,Batch,Rectangular,8,7,5,0.8,0.2,Normalized Random,Squared Euclidean,Gaussian,200,0,0.0,30,-863788585,1871907572,0.0433253530830301,0.06945057968577976,53.3,35.7,59.8876404494382,0.08039285154093019,0.1465499676738203,0:34
glass.csv,1.0,0.6,true,Batch,Rectangular,8,7,5,0.8,0.2,Normalized Random,Squared Euclidean,Gaussian,500,0,0.0,30,2127168232,-541340721,0.04954255377833467,0.07748936136491742,51.1,37.9,57.41573033707865,0.08588643793693367,0.1440602906245857,1:23
glass.csv,1.0,0.6,true,Batch,Rectangular,8,7,5,0.8,0.2,Normalized Random,Squared Euclidean,Gaussian,1000,0,0.0,30,-934268636,-1638895834,0.03954147936957355,0.06496644371711804,53.36666666666667,35.63333333333333,59.96254681647942,0.07910588437347664,0.15550902059156532,2:42
glass.csv,1.0,0.6,true,Batch,Hexagonal,8,7,5,0.8,0.2,Normalized Random,Squared Euclidean,Gaussian,200,0,0.0,30,-101594227,-360108983,0.048473163349304085,0.07498322325072283,51.5,37.5,57.86516853932585,0.08779552782559662,0.14614702763170984,0:32
